otu	otu_total	otu_fraction_of_total	otu_fraction_cumulative	10n	10p	11n	11p	120n	120p	121n	121p	122n	122p	125n	125p	126n	126p	127n	13n	13p	140n	140p	141n	141p	142n	142p	155n	155p	156n	156p	157n	157p	15n	15p	165n	165p	166n	166p	167n	167p	1n	1p	2n	2p	3n	3p	5n	5p	7n	7p	9n	9p	tri01n	tri01p	tri02n	tri02p	tri03n	tri03p	Mothur_Taxo1	Mothur_Taxo2	Mothur_Taxo3	Mothur_Taxo4	Mothur_Taxo5	Mothur_Taxo6	Mothur_Taxo7	Mothur_Taxo8	Final_Taxo1	Final_Taxo2	Final_Taxo3	Final_Taxo4	Final_Taxo5	Final_Taxo6	Final_Taxo7	Final_Taxo8	BLAST_best_identity	BLAST_best_Accession	BLAST_best_Organism	BLAST_best_Description
Otu081	3870	0.00131	0.95599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	3865	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pseudo-nitzschia		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Pseudo_nitzschia		0.987	GU373965	Pseudo-nitzschia pseudodelicatissima	Pseudo-nitzschia pseudodelicatissima 18S ribosomal RNA gene, partial sequence
Otu082	3841	0.00130	0.95729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	519	0	0	1665	0	0	1653	0	0	0	0	0	0	1	0	0	0	0	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X		Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X		1.000	KU200537	uncultured eukaryote	Uncultured eukaryote clone PA2-40m-43 18S ribosomal RNA gene, partial sequence
Otu083	3828	0.00130	0.95859	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3820	0	0	0	0	0	0	0	0	0	3	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Eucampia	Eucampia_sp.	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Mediophyceae	Mediophyceae_X	Eucampia		1.000	KJ577856	Eucampia cornuta	Eucampia cornuta isolate 24IV12-2Euccor 18S small subunit ribosomal RNA gene, partial sequence
Otu084	3724	0.00126	0.95986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	3716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Stramenopiles_X	MOCH	MOCH-2	MOCH-2_X	MOCH-2_XX	MOCH-2_XX_sp.	Eukaryota	Stramenopiles	Stramenopiles_X	MOCH	MOCH_2	MOCH_2_X	MOCH_2_X		0.974	EU500154	uncultured eukaryote	Uncultured eukaryote clone hotxp4g8 18S ribosomal RNA gene, partial sequence
Otu085	3428	0.00116	0.96102	263	7	0	0	1119	128	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1903	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_Clade-B..4	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_Clade_B..4_warm	1.000	KC583057	uncultured Chlorophyta	Uncultured Chlorophyta clone RS.12f.10m.00170 18S ribosomal RNA gene, partial sequence
Otu086	3393	0.00115	0.96217	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3386	0	0	0	0	0	0	0	0	0	2	0	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-C	Clade-C_X		Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_C	Chrysophyceae_Clade_C_X		1.000	AY046792	uncultured eukaryote	Uncultured eukaryote isolate C2_E001 18S ribosomal RNA gene, partial sequence
Otu087	3276	0.00111	0.96329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	1575	1	0	1691	0	1	0	0	0	0	0	0	0	1	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Leptocylindrus	Leptocylindrus_convexus	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Coscinodiscophyceae_X	Leptocylindrus	Leptocylindrus_convexus	1.000	KC814811	Leptocylindrus convexus	Leptocylindrus convexus strain SZN-B768 18S ribosomal RNA gene, partial sequence
Otu088	3150	0.00107	0.96436	0	244	0	0	0	2903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagophyceae_X	Pelagophyceae_XX	Aureococcus	Aureococcus_anophagefferens	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagophyceae_X	Pelagophyceae_X	Aureococcus	Aureococcus_anophagefferens	1.000	AF117776	Aureococcus anophagefferens	Aureococcus anophagefferens strain CCMP1706 18S ribosomal RNA gene, partial sequence
Otu089	3111	0.00106	0.96541	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3059	0	3	0	0	46	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_unclassified		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Mediophyceae	Mediophyceae_X	Thalassiosira		0.997	AB694603	uncultured diatom	Uncultured diatom gene for 18S rRNA, partial sequence, clone: PM45
Otu090	3048	0.00104	0.96645	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3033	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Raphid-pennate_unclassified		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Bacillariophyceae_X		1.000	KU743622	uncultured stramenopile	Uncultured stramenopile clone 07D03D15 small subunit ribosomal RNA gene, partial sequence
Otu091	2927	0.00099	0.96744	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1630	0	0	1288	1	2	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Bacillariophyta_X_unclassified	Bacillariophyta_X_unclassified		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Bacillariophyta_X	Bacillariophyta_X		0.984	AB694531	uncultured diatom	Uncultured diatom gene for 18S rRNA, partial sequence, clone: PA9
Otu092	2826	0.00096	0.96840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2823	0	Eukaryota	Archaeplastida	Chlorophyta	Pyramimonadales	Pyramimonadales_X	Pyramimonadales_XX	Pterosperma	Pterosperma_sp.	Eukaryota	Archaeplastida	Chlorophyta	Pyramimonadales	Pyramimonadales_X	Pyramimonadales_XX	Pterosperma		1.000	HQ394082	uncultured eukaryote	Uncultured eukaryote clone T4B4_3 18S ribosomal RNA gene, partial sequence
Otu093	2610	0.00089	0.96929	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131	0	0	0	0	0	0	1475	2	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Stramenopiles_X	MOCH	MOCH-5	MOCH-5_X	MOCH-5_XX	MOCH-5_XX_sp.	Eukaryota	Stramenopiles	Stramenopiles_X	MOCH	MOCH_5	MOCH_5_X	MOCH_5_X		1.000	KX532272	uncultured marine eukaryote	Uncultured marine eukaryote clone o10.5_44 18S ribosomal RNA gene, partial sequence
Otu094	2584	0.00088	0.97017	0	0	0	763	0	1	0	1820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Calcihaptophycidae	Calcihaptophycidae	Calcihaptophycidae	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Calcihaptophycidae	Calcihaptophycidae_X		0.997	EF172980	uncultured eukaryote	Uncultured eukaryote clone Q2G11N10 18S ribosomal RNA gene, partial sequence
Otu095	2489	0.00085	0.97101	0	0	0	0	0	0	136	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1761	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Clade_B4	Clade_B4	Clade_B4	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Prymnesiales_Clade_B4	Prymnesiales_Clade_B4_X		0.997	GQ344764	uncultured marine eukaryote	Uncultured marine eukaryote clone cRFM1.81 18S ribosomal RNA gene, partial sequence
Otu096	2461	0.00084	0.97185	0	0	0	0	0	0	2459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp._strain9	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		0.987	AY664962	uncultured eukaryote	Uncultured eukaryote clone SCM37C27 18S ribosomal RNA gene, partial sequence
Otu097	2376	0.00081	0.97265	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	46	3	0	0	0	0	0	0	0	2323	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_unclassified	Prymnesiophyceae_unclassified	Prymnesiophyceae_unclassified		Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_X	Prymnesiophyceae_X	Syracosphaera/Algirosphaera		0.997	KF130396	uncultured eukaryote	Uncultured eukaryote clone ST8300.084 18S ribosomal RNA gene, partial sequence
Otu098	2350	0.00080	0.97345	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pedinellales_X	Pedinellales_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pedinellales_X		1.000	GQ382424	uncultured marine eukaryote	Uncultured marine eukaryote clone MO010_1.00340 18S ribosomal RNA gene, partial sequence
Otu099	2276	0.00077	0.97423	0	0	0	0	0	0	2	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2237	0	0	0	0	0	0	0	0	0	1	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae	Prymnesiophyceae	Prymnesiophyceae	Prymnesiophyceae	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_X	Prymnesiophyceae_X	Prymnesiophyceae_X		1.000	JX291729	uncultured eukaryote	Uncultured eukaryote clone 7656BH889_SP6 18S ribosomal RNA gene, partial sequence
Otu100	2179	0.00074	0.97497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	0	0	0	0	0	0	1372	0	0	0	0	0	0	0	0	0	1	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_muellerii_strain1	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Mediophyceae	Mediophyceae_X	Mediophyceae_X		1.000	AY046626	uncultured eukaryote	Uncultured eukaryote isolate C1_E025 18S ribosomal RNA gene, partial sequence
Otu101	2125	0.00072	0.97569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2125	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp._strain63	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		1.000	DQ781328	uncultured marine eukaryote	Uncultured marine eukaryote clone AD143 18S ribosomal RNA gene, partial sequence
Otu102	2124	0.00072	0.97641	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1846	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-C	Clade-C_X	Clade-C_X_sp._strain4	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_C	Chrysophyceae_Clade_C_X		0.997	HQ866142	uncultured eukaryote	Uncultured eukaryote clone SGSP440 18S ribosomal RNA gene, partial sequence
Otu103	2014	0.00068	0.97709	0	34	0	0	0	236	0	0	0	0	0	59	54	0	0	138	282	0	0	0	0	0	1	0	0	0	0	0	0	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	126	101	13	0	0	0	0	921	0	2	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		0.997	KF129663	uncultured eukaryote	Uncultured eukaryote clone ST3500.080 18S ribosomal RNA gene, partial sequence
Otu104	1998	0.00068	0.97777	0	0	0	0	0	0	0	0	0	0	0	735	0	20	0	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis		0.997	KF129646	uncultured eukaryote	Uncultured eukaryote clone ST3500.059 18S ribosomal RNA gene, partial sequence
Otu105	1946	0.00066	0.97843	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	1	1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochales	Dictyochales_X	Dictyochales_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochales	Dictyochales_X		0.997	EU500103	uncultured eukaryote	Uncultured eukaryote clone hotxp1a10 18S ribosomal RNA gene, partial sequence
Otu106	1874	0.00064	0.97907	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1870	0	0	0	0	0	0	0	0	0	1	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_muellerii_strain1	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Mediophyceae	Mediophyceae_X	Mediophyceae_X		0.984	GU370019	uncultured marine eukaryote	Uncultured marine eukaryote clone AP10-W14 18S small subunit ribosomal RNA gene, partial sequence
Otu107	1847	0.00063	0.97970	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_X		1.000	KJ763122	uncultured eukaryote	Uncultured eukaryote clone SGUH472 18S ribosomal RNA gene, partial sequence
Otu108	1822	0.00062	0.98031	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1817	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified		Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae			Chlorophyceae_X		0.866	AB701520	Chlamydomonas sp. NIES-2315	Chlamydomonas sp. NIES-2315 gene for 18S ribosomal RNA, partial sequence
Otu109	1802	0.00061	0.98093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	644	0	0	1152	0	1	0	0	0	0	0	0	0	0	0	1	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	1.000	AF182109	Phaeocystis globosa	Phaeocystis globosa isolate CCMP1524 small subunit ribosomal RNA, complete sequence
Otu110	1752	0.00060	0.98152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	487	0	0	0	0	871	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Bacillariophyta_X_unclassified	Bacillariophyta_X_unclassified		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Bacillariophyta_X	Bacillariophyta_X		0.868	HQ912571	Extubocellulus cribriger	Extubocellulus cribriger strain CCMP391 18S small subunit ribosomal RNA gene, partial sequence
Otu111	1723	0.00059	0.98211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_muellerii_strain2	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Mediophyceae	Mediophyceae_X	Chaetoceros		0.993	KU743687	uncultured stramenopile	Uncultured stramenopile clone 08D3D25 small subunit ribosomal RNA gene, partial sequence
Otu112	1674	0.00057	0.98268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	956	2	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Lycopersicon	Solanum_lycopersicum	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Lycopersicon	Solanum_lycopersicum	1.000	KC535787	Solanum aethiopicum	Solanum aethiopicum isolate SG01 18S ribosomal RNA gene, partial sequence
Otu113	1554	0.00053	0.98320	0	0	0	0	0	0	1027	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pseudopedinella	Pseudopedinella_sp.	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pseudopedinella		0.997	HQ710561	Pseudopedinella sp. HSY-2011	Pseudopedinella sp. HSY-2011 culture-collection CCMP:1476 18S ribosomal RNA (ssu) gene, partial sequence
Otu114	1541	0.00052	0.98373	88	38	1	0	104	0	0	0	36	35	0	51	0	0	103	1	0	0	0	5	0	0	0	0	0	0	0	0	26	0	10	11	0	0	0	0	0	152	0	8	318	410	0	11	0	57	0	37	38	0	0	1	0	0	0	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus		Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus_clade_B	0.997	AY425310	Ostreococcus sp. RCC143	Ostreococcus sp. RCC 143 small subunit ribosomal RNA gene, partial sequence
Otu115	1533	0.00052	0.98425	0	0	0	0	0	0	1530	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XX_unclassified		Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		0.971	KF733579	uncultured marine eukaryote	Uncultured marine eukaryote clone XZZ-W-30 18S small subunit ribosomal RNA gene, partial sequence
Otu116	1526	0.00052	0.98477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1518	3	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Alveolata	Dinophyta	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11_X	Dino-Group-II-Clade-10-and-11_X_sp._strain14	Eukaryota	Alveolata	Dinophyta	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II_Clade_10_and_11	Syndiniales_Group_II_Clade_10_and_11_X		1.000	EU500221	uncultured eukaryote	Uncultured eukaryote clone hotxp4c3 18S ribosomal RNA gene, partial sequence
Otu117	1494	0.00051	0.98527	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1491	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-I	Clade-I_X	Clade-I_X_sp._strain9	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_I	Chrysophyceae_Clade_I_X		0.997	HQ866129	uncultured eukaryote	Uncultured eukaryote clone SGSP416 18S ribosomal RNA gene, partial sequence
Otu118	1480	0.00050	0.98578	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1324	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified		Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_X	Prymnesiophyceae_X	Prymnesiophyceae_X		0.980	HM581592	uncultured marine eukaryote	Uncultured marine eukaryote clone FS14L079_31July05_80m 18S small subunit ribosomal RNA gene, partial sequence
Otu119	1323	0.00045	0.98622	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	892	0	3	0	2	0	0	0	0	0	1	0	4	0	6	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	393	0	4	0	2	0	0	0	0	0	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	Mantoniella_sp.	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	Mantoniella_squamata	1.000	KU600438	Mantoniella squamata	Mantoniella squamata isolate 24-25C3 small subunit ribosomal RNA gene, partial sequence
Otu120	1179	0.00040	0.98663	64	25	0	0	165	0	0	0	28	19	13	6	21	3	32	0	0	0	0	0	23	116	6	0	1	50	2	0	72	0	12	73	0	22	0	0	3	41	0	0	149	164	0	4	0	0	0	38	26	0	0	1	0	0	0	Eukaryota	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified		Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus_prasinos	0.997	FO082268	Bathycoccus prasinos	Bathycoccus prasinos genomic : Chromosome_11
Otu121	1153	0.00039	0.98702	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1148	0	0	0	0	0	0	0	0	0	1	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Radial-centric-basal-Coscinodiscophyceae_unclassified		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Coscinodiscophyceae_X	Guinardia	Guinardia_striata	1.000	KT861015	Guinardia striata	Guinardia striata strain RCC2966 18S ribosomal RNA gene, partial sequence
